Leagues,Date,Time,HomeTeam,AwayTeam,MatchResult,OverUnderGoals,AltOverGoals,AltUnderGoals,BothTeamstoScore,ToWinEitherHalf,TotalGoalsOddEven,CleanSheet,NoCleanSheet,HomeTeamtoScoreinBothHalves,AwayTeamtoScoreinBothHalves,FirstHalfOverUnder,YesBothtoScoreTotalGoalsOverUnder25,NoBothtoScoreTotalGoalsOverUnder25,YesBothtoScoreTotalGoalsOverUnder35,NoBothtoScoreTotalGoalsOverUnder35,YesBothtoScoreTotalGoalsOverUnder45,NoBothtoScoreTotalGoalsOverUnder45
UEFA Champions League,"Dec 12, 2023",18:45,RC Lens,Sevilla,RC Lens   2.10 | Draw   3.35 | Sevilla   3.25,2.5  1.96 | 2.5  1.77,0.5   1.03 | 1.5   1.29 | 3.5   3.43 | 4.5   6.85 | 5.5   13.11 | 6.5   13.11,0.5   9.70 | 1.5   3.31 | 3.5   1.27 | 4.5   1.08 | 5.5 | 6.5,Yes  1.75 | No  1.90,RC Lens  1.61 | Sevilla  2.10,Yes  1.75 | No  1.90,RC Lens   2.75 | Sevilla   3.80,RC Lens   1.40 | Sevilla   1.25,Yes  3.26 | No  1.26,Yes  4.80 | No  1.12,0.5  1.37 | 0.5  2.70,Yes   2.5  2.30 | 2.5  6.50,No   2.5  10.00 | 2.5  2.25,Yes   3.5  3.80 | 3.5  3.05,No   3.5  25.00 | 3.5  2.15,Yes   4.5  7.50 | 4.5  2.20,No   4.5  41.00 | 4.5  2.05
UEFA Champions League,"Dec 12, 2023",18:45,PSV Eindhoven,Arsenal,PSV Eindhoven   3.05 | Draw   3.60 | Arsenal   2.10,2.5  1.58 | 2.5  2.27,0.5 | 1.5   1.18 | 3.5   2.45 | 4.5   4.42 | 5.5   8.75 | 6.5   13.11 | 7.5   13.11,0.5   13.11 | 1.5   4.42 | 3.5   1.50 | 4.5   1.18 | 5.5   1.04 | 6.5 | 7.5,Yes  1.50 | No  2.33,PSV Eindhoven  2.00 | Arsenal  1.58,Yes  1.50 | No  2.33,PSV Eindhoven   5.00 | Arsenal   3.80,PSV Eindhoven   1.17 | Arsenal   1.25,Yes  3.38 | No  1.25,Yes  2.70 | No  1.37,1.5  2.33 | 1.5  1.50,Yes   2.5  1.83 | 2.5  7.00,No   2.5  9.50 | 2.5  3.00,Yes   3.5  2.75 | 3.5  3.15,No   3.5  23.00 | 3.5  2.70,Yes   4.5  4.80 | 4.5  2.10,No   4.5  39.00 | 4.5  2.60
UEFA Champions League,"Dec 12, 2023",21:00,Union Berlin,Real Madrid,Union Berlin   3.50 | Draw   3.80 | Real Madrid   1.85,2.5  1.55 | 2.5  2.32,0.5 | 1.5   1.15 | 3.5   2.34 | 4.5   4.23 | 5.5   7.82 | 6.5   13.11 | 7.5   13.11,0.5   13.11 | 1.5   4.91 | 3.5   1.54 | 4.5   1.19 | 5.5   1.06 | 6.5 | 7.5,Yes  1.50 | No  2.33,Union Berlin  2.15 | Real Madrid  1.45,Yes  1.50 | No  2.33,Union Berlin   6.00 | Real Madrid   3.40,Union Berlin   1.13 | Real Madrid   1.30,Yes  3.64 | No  1.21,Yes  2.43 | No  1.46,1.5  2.21 | 1.5  1.54,Yes   2.5  1.80 | 2.5  7.50,No   2.5  8.50 | 2.5  3.20,Yes   3.5  2.60 | 3.5  3.30,No   3.5  20.00 | 3.5  2.80,Yes   4.5  4.40 | 4.5  2.15,No   4.5  35.00 | 4.5  2.65
UEFA Champions League,"Dec 12, 2023",21:00,FC Copenhagen,Galatasaray,FC Copenhagen   2.95 | Draw   3.60 | Galatasaray   2.15,2.5  1.58 | 2.5  2.27,0.5 | 1.5   1.18 | 3.5   2.45 | 4.5   4.42 | 5.5   8.75 | 6.5   13.11 | 7.5   13.11,0.5   13.11 | 1.5   4.42 | 3.5   1.50 | 4.5   1.18 | 5.5   1.04 | 6.5 | 7.5,Yes  1.50 | No  2.33,FC Copenhagen  1.85 | Galatasaray  1.65,Yes  1.50 | No  2.33,FC Copenhagen   4.80 | Galatasaray   4.10,FC Copenhagen   1.20 | Galatasaray   1.25,Yes  3.38 | No  1.25,Yes  2.92 | No  1.32,1.5  2.33 | 1.5  1.50,Yes   2.5  1.82 | 2.5  7.25,No   2.5  11.00 | 2.5  3.15,Yes   3.5  2.70 | 3.5  3.15,No   3.5  24.00 | 3.5  2.70,Yes   4.5  4.80 | 4.5  2.10,No   4.5  39.00 | 4.5  2.60
UEFA Champions League,"Dec 12, 2023",21:00,Napoli,SC Braga,Napoli   1.37 | Draw   4.70 | SC Braga   6.75,2.5  1.55 | 2.5  2.32,0.5 | 1.5   1.18 | 3.5   2.45 | 4.5   4.23 | 5.5   7.82 | 6.5   13.11 | 7.5   13.11,0.5   13.11 | 1.5   4.42 | 3.5   1.50 | 4.5   1.19 | 5.5   1.06 | 6.5 | 7.5,Yes  1.75 | No  1.90,Napoli  1.22 | SC Braga  3.40,Yes  1.75 | No  1.90,Napoli   2.20 | SC Braga   8.00,Napoli   1.62 | SC Braga   1.08,Yes  1.96 | No  1.70,Yes  6.70 | No  1.05,1.5  2.33 | 1.5  1.50,Yes   2.5  2.20 | 2.5  9.50,No   2.5  5.00 | 2.5  2.75,Yes   3.5  3.00 | 3.5  3.90,No   3.5  12.00 | 3.5  2.40,Yes   4.5  5.00 | 4.5  2.50,No   4.5  23.00 | 4.5  2.15
UEFA Champions League,"Dec 12, 2023",21:00,Manchester United,Bayern Munchen,Manchester United   2.40 | Draw   3.60 | Bayern Munchen   2.55,2.5  1.55 | 2.5  2.32,0.5 | 1.5   1.15 | 3.5   2.34 | 4.5   4.23 | 5.5   7.82 | 6.5   13.11 | 7.5   13.11,0.5   13.11 | 1.5   4.91 | 3.5   1.54 | 4.5   1.19 | 5.5   1.06 | 6.5 | 7.5,Yes  1.46 | No  2.43,Manchester United  1.70 | Bayern Munchen  1.78,Yes  1.46 | No  2.43,Manchester United   4.30 | Bayern Munchen   4.30,Manchester United   1.20 | Bayern Munchen   1.20,Yes  2.92 | No  1.32,Yes  3.13 | No  1.28,1.5  2.33 | 1.5  1.50,Yes   2.5  1.80 | 2.5  7.50,No   2.5  9.50 | 2.5  3.10,Yes   3.5  2.50 | 3.5  3.20,No   3.5  23.00 | 3.5  2.90,Yes   4.5  4.30 | 4.5  2.10,No   4.5  39.00 | 4.5  2.75
UEFA Champions League,"Dec 12, 2023",21:00,Salzburg,Benfica,Salzburg   2.90 | Draw   3.50 | Benfica   2.20,2.5  1.68 | 2.5  2.08,0.5 | 1.5   1.19 | 3.5   2.71 | 4.5   4.91 | 5.5   9.70 | 6.5   13.11 | 7.5   13.11,0.5   12.55 | 1.5   4.23 | 3.5   1.42 | 4.5   1.15 | 5.5   1.03 | 6.5 | 7.5,Yes  1.54 | No  2.21,Salzburg  1.85 | Benfica  1.68,Yes  1.54 | No  2.21,Salzburg   4.00 | Benfica   3.80,Salzburg   1.22 | Benfica   1.25,Yes  3.38 | No  1.25,Yes  2.92 | No  1.32,1.5  2.43 | 1.5  1.46,Yes   2.5  1.90 | 2.5  7.00,No   2.5  10.00 | 2.5  2.75,Yes   3.5  2.95 | 3.5  3.05,No   3.5  25.00 | 3.5  2.55,Yes   4.5  5.25 | 4.5  2.10,No   4.5  40.00 | 4.5  2.45
UEFA Champions League,"Dec 12, 2023",21:00,Inter Milan,Real Sociedad,Inter Milan   1.71 | Draw   3.70 | Real Sociedad   4.30,2.5  2.02 | 2.5  1.72,0.5   1.03 | 1.5   1.29 | 3.5   3.63 | 4.5   6.85 | 5.5   13.11 | 6.5   13.11,0.5   9.70 | 1.5   3.31 | 3.5   1.25 | 4.5   1.08 | 5.5 | 6.5,Yes  1.95 | No  1.71,Inter Milan  1.42 | Real Sociedad  2.54,Yes  1.95 | No  1.71,Inter Milan   2.25 | Real Sociedad   4.30,Inter Milan   1.57 | Real Sociedad   1.20,Yes  2.92 | No  1.32,Yes  5.74 | No  1.08,0.5  1.41 | 0.5  2.57,Yes   2.5  2.50 | 2.5  7.50,No   2.5  8.00 | 2.5  2.10,Yes   3.5  4.10 | 3.5  3.30,No   3.5  21.00 | 3.5  2.00,Yes   4.5  8.25 | 4.5  2.35,No   4.5  36.00 | 4.5  1.90
UEFA Champions League,"Dec 13, 2023",18:45,Crvena Zvezda,Manchester City,Crvena Zvezda   8.50 | Draw   6.25 | Manchester City   1.24,3.5  2.06 | 3.5  1.70,0.5 | 1.5   1.10 | 2.5   1.38 | 4.5   3.43 | 5.5   5.87 | 6.5   10.67 | 7.5   13.11 | 8.5   13.11,0.5   13.11 | 1.5   5.87 | 2.5   2.84 | 4.5   1.27 | 5.5   1.10 | 6.5   1.02 | 7.5 | 8.5,Yes  1.75 | No  1.90,Crvena Zvezda  4.00 | Manchester City  1.14,Yes  1.75 | No  1.90,Crvena Zvezda   11.00 | Manchester City   2.10,Crvena Zvezda   1.05 | Manchester City   1.67,Yes  6.70 | No  1.05,Yes  1.63 | No  2.05,1.5  2.05 | 1.5  1.63,Yes   2.5  2.05 | 2.5  13.00,No   2.5  4.00 | 2.5  3.25,Yes   3.5  2.60 | 3.5  4.50,No   3.5  8.50 | 3.5  2.65,Yes   4.5  4.10 | 4.5  2.75,No   4.5  17.00 | 4.5  2.30
UEFA Champions League,"Dec 13, 2023",18:45,RB Leipzig,Young Boys,RB Leipzig   1.29 | Draw   5.50 | Young Boys   7.75,3.5  1.96 | 3.5  1.77,0.5 | 1.5   1.10 | 2.5   1.38 | 4.5   3.31 | 5.5   5.87 | 6.5   10.67 | 7.5   13.11 | 8.5   13.11,0.5   13.11 | 1.5   5.87 | 2.5   2.84 | 4.5   1.29 | 5.5   1.10 | 6.5   1.02 | 7.5 | 8.5,Yes  1.63 | No  2.05,RB Leipzig  1.17 | Young Boys  3.60,Yes  1.63 | No  2.05,RB Leipzig   2.40 | Young Boys   11.00,RB Leipzig   1.53 | Young Boys   1.05,Yes  1.70 | No  1.96,Yes  5.74 | No  1.08,1.5  1.96 | 1.5  1.70,Yes   2.5  1.90 | 2.5  11.00,No   2.5  4.50 | 2.5  3.50,Yes   3.5  2.45 | 3.5  4.30,No   3.5  10.00 | 3.5  2.85,Yes   4.5  3.80 | 4.5  2.60,No   4.5  19.00 | 4.5  2.50
